id,CODE,KEY,EN Phrase Formula,EN,FR,
163,"""level.create.card.level.title.validation"": ""Please enter the level title!"",",level.create.card.level.title.validation, Please enter the level title!, Please enter the level title!, Please enter the level title!,
164,"""level.create.card.level.level"": ""Level"",",level.create.card.level.level, Level, Level, Level,
165,"""level.create.card.level.level.validation"": ""Please enter the level number!"",",level.create.card.level.level.validation, Please enter the level number!, Please enter the level number!, Please enter the level number!,
166,"""level.create.card.level.isDefault.label"": ""Default"",",level.create.card.level.isDefault.label, Default, Default, Default,
167,"""level.create.card.level.isDefault.value"": ""Is default"",",level.create.card.level.isDefault.value, Is default, Is default, Is default,
168,"""level.create.babylonCode"": ""Babylon code"",",level.create.babylonCode, Babylon code, Babylon code, Babylon code,
169,"""level.create.babylonParams"": ""Babylon params"",",level.create.babylonParams, Babylon params, Babylon params, Babylon params,
170,"""level.create.notification.create"": ""Level has been created"",",level.create.notification.create, Level has been created, Level has been created, Level has been created,
171,"""level.create.notification.update"": ""Level has been updated"",",level.create.notification.update, Level has been updated, Level has been updated, Level has been updated,
172,"""level.not.delete.message"": ""Can't delete level! Because node has child variants"",",level.not.delete.message, Can't delete level! Because node has child variants, Can't delete level! Because node has child variants, Can't delete level! Because node has child variants,
173,"""variant.table.columns.title"": ""Title"",",variant.table.columns.title, Title, Title, Title,
174,"""variant.table.columns.name"": ""Name"",",variant.table.columns.name, Name, Name, Name,
175,"""variant.table.columns.description"": ""Description"",",variant.table.columns.description, Description, Description, Description,
176,"""variant.table.columns.rooms"": ""Rooms"",",variant.table.columns.rooms, Rooms, Rooms, Rooms,
177,"""variant.table.columns.isActive"": ""Active"",",variant.table.columns.isActive, Active, Active, Active,
178,"""variant.table.columns.isDefault"": ""Default"",",variant.table.columns.isDefault, Default, Default, Default,
179,"""variant.table.columns.babylonId"": ""Babylon ID"",",variant.table.columns.babylonId, Babylon ID, Babylon ID, Babylon ID,
180,"""variant.table.columns.action"": ""Action"",",variant.table.columns.action, Action, Action, Action,
181,"""variant.create.title.create"": ""Create level variant"",",variant.create.title.create, Create level variant, Create level variant, Create level variant,
182,"""variant.create.title.update"": ""Edit level variant"",",variant.create.title.update, Edit level variant, Edit level variant, Edit level variant,
183,"""variant.create.title"": ""Title"",",variant.create.title, Title, Title, Title,
184,"""variant.create.title.validation"": ""Please enter the variant title!"",",variant.create.title.validation, Please enter the variant title!, Please enter the variant title!, Please enter the variant title!,
185,"""variant.create.name"": ""Name"",",variant.create.name, Name, Name, Name,
186,"""variant.create.name.validation"": ""Please enter the variant name!"",",variant.create.name.validation, Please enter the variant name!, Please enter the variant name!, Please enter the variant name!,
187,"""variant.create.description"": ""Description"",",variant.create.description, Description, Description, Description,
188,"""variant.create.description.validation"": ""Please enter the variant description!"",",variant.create.description.validation, Please enter the variant description!, Please enter the variant description!, Please enter the variant description!,
189,"""variant.create.rooms"": ""Rooms"",",variant.create.rooms, Rooms, Rooms, Rooms,
190,"""variant.create.allSurface"": ""All surface"",",variant.create.allSurface, All surface, All surface, All surface,
191,"""variant.create.babylonCode"": ""Babylon code"",",variant.create.babylonCode, Babylon code, Babylon code, Babylon code,
192,"""variant.create.babylonParams"": ""Babylon params"",",variant.create.babylonParams, Babylon params, Babylon params, Babylon params,
193,"""variant.create.isActive.label"": ""Active"",",variant.create.isActive.label, Active, Active, Active,
194,"""variant.create.isActive.value"": ""is active"",",variant.create.isActive.value, is active, is active, is active,
195,"""variant.create.isDefault.label"": ""Default"",",variant.create.isDefault.label, Default, Default, Default,
196,"""variant.create.isDefault.value"": ""is default"",",variant.create.isDefault.value, is default, is default, is default,
197,"""variant.create.notification.create"": ""Variant has been created"",",variant.create.notification.create, Variant has been created, Variant has been created, Variant has been created,
198,"""variant.create.notification.update"": ""Variant has been updated"",",variant.create.notification.update, Variant has been updated, Variant has been updated, Variant has been updated,
199,"""variant.create.floorPlanImg"": ""Floor plan image"",",variant.create.floorPlanImg, Floor plan image, Floor plan image, Floor plan image,
200,"""variant.create.shortFloorPlanImg"": ""Short floor plan image"",",variant.create.shortFloorPlanImg, Short floor plan image, Short floor plan image, Short floor plan image,
201,"""variant.title"": ""List of Variants"",",variant.title, List of Variants, List of Variants, List of Variants,
202,"""variant.not.delete.message"": ""Can't delete variant! Because node has child spaces"",",variant.not.delete.message, Can't delete variant! Because node has child spaces, Can't delete variant! Because node has child spaces, Can't delete variant! Because node has child spaces,
203,"""space.create.name"": ""Name"",",space.create.name, Name, Name, Name,
204,"""space.create.name.validation"": ""Please enter the space name!"",",space.create.name.validation, Please enter the space name!, Please enter the space name!, Please enter the space name!,
205,"""space.create.title"": ""Title"",",space.create.title, Title, Title, Title,
206,"""space.create.title.validation"": ""Please enter the space title!"",",space.create.title.validation, Please enter the space title!, Please enter the space title!, Please enter the space title!,
207,"""space.create.surface"": ""Surface"",",space.create.surface, Surface, Surface, Surface,
208,"""space.create.types"": ""Type"",",space.create.types, Type, Type, Type,
209,"""space.create.types.validation"": ""Please select the space type!"",",space.create.types.validation, Please select the space type!, Please select the space type!, Please select the space type!,
210,"""space.create.babylonCode"": ""Babylon code"",",space.create.babylonCode, Babylon code, Babylon code, Babylon code,
211,"""space.create.babylonParams"": ""Babylon params"",",space.create.babylonParams, Babylon params, Babylon params, Babylon params,
212,"""space.create.notification.create"": ""Space has been created"",",space.create.notification.create, Space has been created, Space has been created, Space has been created,
213,"""space.create.notification.update"": ""Space has been updated"",",space.create.notification.update, Space has been updated, Space has been updated, Space has been updated,
214,"""space.not.delete.message"": ""Can't delete space! Because node has child objects"",",space.not.delete.message, Can't delete space! Because node has child objects, Can't delete space! Because node has child objects, Can't delete space! Because node has child objects,
215,"""space.object.create.name"": ""Name"",",space.object.create.name, Name, Name, Name,
216,"""space.object.create.name.validation"": ""Please enter the space object name!"",",space.object.create.name.validation, Please enter the space object name!, Please enter the space object name!, Please enter the space object name!,
217,"""space.object.create.title"": ""Title"",",space.object.create.title, Title, Title, Title,
218,"""space.object.create.title.validation"": ""Please enter the space object title!"",",space.object.create.title.validation, Please enter the space object title!, Please enter the space object title!, Please enter the space object title!,
219,"""space.object.create.types"": ""Type"",",space.object.create.types, Type, Type, Type,
220,"""space.object.create.babylonCode"": ""Babylon code"",",space.object.create.babylonCode, Babylon code, Babylon code, Babylon code,
221,"""space.object.create.babylonParams"": ""Babylon params"",",space.object.create.babylonParams, Babylon params, Babylon params, Babylon params,
222,"""space.object.create.isActive.label"": ""Active"",",space.object.create.isActive.label, Active, Active, Active,
223,"""space.object.create.isActive.value"": ""is active"",",space.object.create.isActive.value, is active, is active, is active,
224,"""space.object.create.isDefault.label"": ""Default"",",space.object.create.isDefault.label, Default, Default, Default,
225,"""space.object.create.isDefault.value"": ""is default"",",space.object.create.isDefault.value, is default, is default, is default,
226,"""space.object.create.notification.create"": ""Space object has been created"",",space.object.create.notification.create, Space object has been created, Space object has been created, Space object has been created,
227,"""space.object.create.notification.update"": ""Space object has been updated"",",space.object.create.notification.update, Space object has been updated, Space object has been updated, Space object has been updated,
228,"""space.object.create.basic.tab.title"": ""Info"",",space.object.create.basic.tab.title, Info, Info, Info,
229,"""space.object.create.option.tab.title"": ""Options"",",space.object.create.option.tab.title, Options, Options, Options,
230,"""space.option.table.columns.name"": ""Name"",",space.option.table.columns.name, Name, Name, Name,
231,"""space.option.table.columns.isActive"": ""Active"",",space.option.table.columns.isActive, Active, Active, Active,
232,"""space.option.table.columns.isDefault"": ""Default"",",space.option.table.columns.isDefault, Default, Default, Default,
233,"""space.option.table.columns.action"": ""Action"",",space.option.table.columns.action, Action, Action, Action,
234,"""space.option.table.columns.isActive.active"": ""Active"",",space.option.table.columns.isActive.active, Active, Active, Active,
235,"""space.option.table.columns.isActive.inactive"": ""Inactive"",",space.option.table.columns.isActive.inactive, Inactive, Inactive, Inactive,
236,"""space.option.table.columns.isDefault.text"": ""Default"",",space.option.table.columns.isDefault.text, Default, Default, Default,
237,"""space.object.create.option.title"": ""Create option"",",space.object.create.option.title, Create option, Create option, Create option,
238,"""space.object.update.option.title"": ""Update option"",",space.object.update.option.title, Update option, Update option, Update option,
239,"""space.object.option.create.name"": ""Name"",",space.object.option.create.name, Name, Name, Name,
240,"""space.object.option.create.name.validation"": ""Please enter the space option name!"",",space.object.option.create.name.validation, Please enter the space option name!, Please enter the space option name!, Please enter the space option name!,
241,"""space.object.option.create.title"": ""Title"",",space.object.option.create.title, Title, Title, Title,
242,"""space.object.option.create.title.validation"": ""Please enter the space option title!"",",space.object.option.create.title.validation, Please enter the space option title!, Please enter the space option title!, Please enter the space option title!,
243,"""space.object.option.create.isActive.label"": ""Active"",",space.object.option.create.isActive.label, Active, Active, Active,
244,"""space.object.option.create.isActive.value"": ""is active"",",space.object.option.create.isActive.value, is active, is active, is active,
245,"""space.object.option.create.isDefault.label"": ""Default"",",space.object.option.create.isDefault.label, Default, Default, Default,
246,"""space.object.option.create.isDefault.value"": ""is default"",",space.object.option.create.isDefault.value, is default, is default, is default,
247,"""space.object.option.create.product"": ""Product"",",space.object.option.create.product, Product, Product, Product,
248,"""space.object.option.create.babylonCode"": ""Babylon code"",",space.object.option.create.babylonCode, Babylon code, Babylon code, Babylon code,
249,"""space.object.option.create.babylonParams"": ""Babylon params"",",space.object.option.create.babylonParams, Babylon params, Babylon params, Babylon params,
250,"""space.object.option.create.products"": ""Products"",",space.object.option.create.products, Products, Products, Products,
251,"""space.object.option.assign.success"": ""Option was assigned!"",",space.object.option.assign.success, Option was assigned!, Option was assigned!, Option was assigned!,
252,"""space.object.option.modal.title"": ""Assign option to other space objects"",",space.object.option.modal.title, Assign option to other space objects, Assign option to other space objects, Assign option to other space objects,
253,"""space.object.option.modal.assign"": ""Assign"",",space.object.option.modal.assign, Assign, Assign, Assign,
254,"""space.object.option.modal.table.columns.spaceObject"": ""Object"",",space.object.option.modal.table.columns.spaceObject, Object, Object, Object,
255,"""space.object.option.modal.table.columns.space"": ""Space"",",space.object.option.modal.table.columns.space, Space, Space, Space,
256,"""space.object.option.modal.table.columns.variant"": ""Variant"",",space.object.option.modal.table.columns.variant, Variant, Variant, Variant,
257,"""space.object.option.modal.table.columns.level"": ""Level"",",space.object.option.modal.table.columns.level, Level, Level, Level,
258,"""space.object.option.modal.table.columns.typology"": ""Typology"",",space.object.option.modal.table.columns.typology, Typology, Typology, Typology,
259,"""space.object.option.assign.btn.title"": ""Assign option to another space object"",",space.object.option.assign.btn.title, Assign option to another space object, Assign option to another space object, Assign option to another space object,
260,"""product.title"": ""Products"",",product.title, Products, Products, Products,
261,"""product.create.title.create"": ""Create"",",product.create.title.create, Create, Create, Create,
262,"""product.create.title.update"": ""Update"",",product.create.title.update, Update, Update, Update,
263,"""product.create.success.message"": ""The product was created!"",",product.create.success.message, The product was created!, The product was created!, The product was created!,
264,"""product.bread.root"": ""Products"",",product.bread.root, Products, Products, Products,
265,"""product.create.card.article.info"": ""Article info"",",product.create.card.article.info, Article info, Article info, Article info,
266,"""product.create.card.article.create.btn"": ""Create Article"",",product.create.card.article.create.btn, Create Article, Create Article, Create Article,
267,"""product.create.card.article.category"": ""Article category"",",product.create.card.article.category, Article category, Article category, Article category,
268,"""product.create.card.article.category.validation"": ""Please select the article category!"",",product.create.card.article.category.validation, Please select the article category!, Please select the article category!, Please select the article category!,
269,"""product.create.card.article.item"": ""Article"",",product.create.card.article.item, Article, Article, Article,
270,"""product.create.card.article.item.validation"": ""Please select the article!"",",product.create.card.article.item.validation, Please select the article!, Please select the article!, Please select the article!,
271,"""product.create.card.basic.info"": ""Product info"",",product.create.card.basic.info, Product info, Product info, Product info,
272,"""product.create.card.media"": ""Media"",",product.create.card.media, Media, Media, Media,
273,"""product.create.tabs.product"": ""Products"",",product.create.tabs.product, Products, Products, Products,
274,"""product.create.tabs.article"": ""Article"",",product.create.tabs.article, Article, Article, Article,
275,"""product.create.images"": ""Images"",",product.create.images, Images, Images, Images,
276,"""product.create.texture"": ""Texture"",",product.create.texture, Texture, Texture, Texture,
277,"""product.create.glb.file"": ""3D model"",",product.create.glb.file, 3D model, 3D model, 3D model,
278,"""product.table.columns.article"": ""Article"",",product.table.columns.article, Article, Article, Article,
279,"""product.table.columns.barcode"": ""Barcode"",",product.table.columns.barcode, Barcode, Barcode, Barcode,
280,"""product.table.columns.price"": ""Price"",",product.table.columns.price, Price, Price, Price,
281,"""product.table.columns.isActive"": ""Is active"",",product.table.columns.isActive, Is active, Is active, Is active,
282,"""product.table.columns.isActive.active"": ""Active"",",product.table.columns.isActive.active, Active, Active, Active,
